"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","geometry"
"2157",1,"XY",2023-12-09,2023,12,2024,"S65-35",c(948545, 6411889)
"2158",0.765625,"XY",2023-12-09,2023,12,2024,"S86-034",c(954991, 6501826)
"2159",0.828125,"XY",2023-12-09,2023,12,2024,"S65-35",c(947778, 6411135)
"2161",0.59375,"XX",2023-12-10,2023,12,2024,"S86-019",c(943743, 6348846)
"2162",0.828125,"XX",2023-12-11,2023,12,2024,"S86-019",c(938173, 6353275)
"2163",0.96875,"XX",2023-12-11,2023,12,2024,"S86-066",c(912124, 6278447)
"2164",0.817708313,"XY",2023-12-11,2023,12,2024,"S86-130",c(976397, 6461926)
"2166",0.890625,"XX",2023-12-12,2023,12,2024,"S74-093",c(963145, 6266791)
"2167",1,"XY",2023-12-12,2023,12,2024,"S86-082",c(944259, 6347697)
"2168",0.9375,"XX",2023-12-12,2023,12,2024,"S86-040",c(958757, 6329118)
"2170",0.942708313,"XX",2023-12-12,2023,12,2024,"S86-087",c(943963, 6348951)
"2171",0.901041687,"XY",2023-12-12,2023,12,2024,"S86-083",c(944469, 6345405)
"2172",0.802083313,"XY",2023-12-12,2023,12,2024,"S85-021",c(940340, 6344075)
"2173",0.682291687,"XX",2023-12-12,2023,12,2024,"S80-013",c(938888, 6426569)
"2174",0.682291687,"XY",2023-12-13,2023,12,2024,"S86-021",c(903595, 6358959)
"2175",1,"XX",2023-12-13,2023,12,2024,"S81-129",c(960896, 6638211)
"2176",0.848958313,"XY",2023-12-13,2023,12,2024,"S86-021",c(903595, 6358959)
"2178",0.994791687,"XX",2023-12-13,2023,12,2024,"S77-028",c(899678, 6359993)
"2179",1,"XX",2023-12-13,2023,12,2024,"S77-028",c(903146, 6357519)
"2180",0.979166687,"XY",2023-12-13,2023,12,2024,"S86-021",c(903146, 6357519)
"2181",0.859375,"XY",2023-12-13,2023,12,2024,"S79-027",c(914929, 6380173)
"2183",1,"XY",2023-12-15,2023,12,2024,"S86-022",c(950842, 6468029)
"2185",0.515625,"XY",2023-12-15,2023,12,2024,"S86-022",c(950835, 6468039)
"2191",0.510416687,"NI",2023-12-16,2023,12,2024,"S86-090",c(917915, 6334807)
"2192",0.9375,"XY",2023-12-17,2023,12,2024,"S65-35",c(948447, 6411837)
"2194",0.958333313,"XY",2023-12-18,2023,12,2024,"S87-119",c(974976, 6393506)
"2195",1,"XX",2023-12-18,2023,12,2024,"S81-136",c(946364, 6425024)
"2197",0.979166687,"XX",2023-12-18,2023,12,2024,"S83-029",c(988473, 6349214)
"2198",0.96875,"XY",2023-12-18,2023,12,2024,"S65-23",c(974648, 6321315)
"2199",1,"XY",2023-12-19,2023,12,2024,"S86-081",c(902727, 6241615)
"2201",0.869791687,"XY",2023-12-19,2023,12,2024,"S86-138",c(919948, 6250605)
"2202",1,"XY",2023-12-19,2023,12,2024,"S84-005",c(955852, 6442860)
"2204",0.958333313,"XX",2023-12-19,2023,12,2024,"S87-120",c(982658, 6405422)
"2205",0.979166687,"XY",2023-12-19,2023,12,2024,"S86-085",c(977931, 6437302)
"2207",1,"XY",2023-12-20,2023,12,2024,"S84-005",c(950377, 6442662)
"2208",1,"XX",2023-12-20,2023,12,2024,"S86-047",c(969178, 6380523)
"2209",0.895833313,"XX",2023-12-20,2023,12,2024,"S86-032",c(949098, 6442812)
"2210",0.807291687,"XY",2023-12-20,2023,12,2024,"S73-070",c(939740, 6427330)
"2211",1,"XX",2023-12-20,2023,12,2024,"S86-032",c(949684, 6442715)
"2212",1,"XX",2023-12-20,2023,12,2024,"S88-052",c(1000496, 6357213)
"2213",0.583333313,"XY",2023-12-20,2023,12,2024,"S89-009",c(1070485, 6334243)
"2214",0.989583313,"XX",2023-12-20,2023,12,2024,"S78-043",c(948931, 6442846)
"2215",0.958333313,"XX",2023-12-20,2023,12,2024,"S86-120",c(949003, 6442829)
"2216",1,"XX",2023-12-20,2023,12,2024,"S86-053",c(1026946, 6347423)
"2217",1,"XX",2023-12-20,2023,12,2024,"S65-32",c(976910, 6399308)
"2218",1,"XY",2023-12-20,2023,12,2024,"S73-070",c(939417, 6427112)
"2220",0.885416687,"XY",2023-12-21,2023,12,2024,"S87-048",c(1062981, 6333563)
"2222",1,"XY",2023-12-21,2023,12,2024,"S87-097",c(1051761, 6342842)
"2223",0.703125,"XY",2023-12-21,2023,12,2024,"S86-031",c(909214, 6347586)
"2225",1,"XY",2023-12-21,2023,12,2024,"S84-005",c(961477, 6444097)
"2226",0.541666687,"NI",2023-12-21,2023,12,2024,"S86-112",c(909214, 6347586)
"2227",0.864583313,"XY",2023-12-21,2023,12,2024,"S86-026",c(909214, 6347586)
"2228",0.838541687,"XY",2023-12-21,2023,12,2024,"S86-031",c(909214, 6347586)
"2229",1,"XX",2023-12-22,2023,12,2024,"S66-09",c(1062729, 6346352)
"2230",0.557291687,"XX",2023-12-22,2023,12,2024,"S82-029",c(940209, 6366305)
"2231",0.744791687,"XY",2023-12-22,2023,12,2024,"S87-042",c(1008634, 6346327)
"2233",1,"XY",2023-12-22,2023,12,2024,"S58-61",c(914589, 6420228)
"2234",0.541666687,"XX",2023-12-22,2023,12,2024,"S86-129",c(998702, 6469138)
"2236",0.994791687,"XY",2023-12-23,2023,12,2024,"S86-091",c(986160, 6319512)
"2238",0.75,"XX",2023-12-24,2023,12,2024,"S86-002",c(989933, 6479687)
"2239",1,"XX",2023-12-24,2023,12,2024,"S83-029",c(993065, 6351699)
"2241",1,"XY",2023-12-25,2023,12,2024,"S86-070",c(975653, 6488406)
"2242",1,"XX",2023-12-25,2023,12,2024,"S86-067",c(975711, 6488048)
"2244",0.875,"XX",2023-12-27,2023,12,2024,"S74-024",c(998553, 6361409)
"2245",0.911458313,"XY",2023-12-27,2023,12,2024,"S88-030",c(975859, 6249885)
"2246",0.984375,"XY",2023-12-27,2023,12,2024,"S86-069",c(920022, 6374562)
"2247",0.84375,"XY",2023-12-27,2023,12,2024,"S86-131",c(1004399, 6500446)
"2248",0.994791687,"XY",2023-12-27,2023,12,2024,"S86-029",c(938987, 6327213)
"2249",0.692708313,"XY",2023-12-28,2023,12,2024,"S86-079",c(919347, 6392958)
"2250",1,"XY",2023-12-28,2023,12,2024,"S86-132",c(990763, 6516358)
"2251",0.973958313,"XX",2023-12-28,2023,12,2024,"S86-096",c(959724, 6327652)
"2252",0.838541687,"XY",2023-12-28,2023,12,2024,"S87-038",c(1066995, 6346528)
"2253",1,"XY",2023-12-28,2023,12,2024,"S74-011",c(977430, 6399057)
"2254",0.552083313,"XY",2023-12-28,2023,12,2024,"S86-009",c(935139, 6593506)
"2255",0.71875,"XY",2023-12-28,2023,12,2024,"S86-023",c(936359, 6592452)
"2256",0.713541687,"XX",2023-12-28,2023,12,2024,"S86-117",c(897318, 6435218)
"2257",0.984375,"XX",2023-12-28,2023,12,2024,"S88-046",c(965303, 6398299)
"2259",1,"XY",2023-12-29,2023,12,2024,"S87-021",c(764942, 6363631)
"2261",0.973958313,"XX",2023-12-29,2023,12,2024,"S67-45",c(968706, 6462870)
"2262",0.958333313,"XX",2023-12-29,2023,12,2024,"S81-011",c(765056, 6363602)
"2264",0.859375,"XY",2023-12-29,2023,12,2024,"S86-200",c(980360, 6486083)
"2265",0.963541687,"XY",2023-12-29,2023,12,2024,"S88-104",c(993402, 6543051)
"2266",0.692708313,"XX",2023-12-29,2023,12,2024,"S75-055",c(902254, 6413563)
"2267",0.625,"XY",2023-12-29,2023,12,2024,"S86-024",c(948727, 6330246)
"2268",0.791666687,"XX",2023-12-29,2023,12,2024,"S72-022",c(960171, 6332534)
"2270",0.921875,"XX",2023-12-29,2023,12,2024,"S86-062",c(994171, 6357095)
"2271",0.989583313,"XY",2023-12-29,2023,12,2024,"S88-056",c(993954, 6541923)
"2272",1,"XX",2023-12-30,2023,12,2024,"S86-062",c(985426, 6351588)
"2273",1,"XY",2023-12-30,2023,12,2024,"S86-023",c(933070, 6589934)
"2274",0.911458313,"XX",2023-12-30,2023,12,2024,"S83-029",c(994803, 6356957)
"2275",0.947916687,"XX",2023-12-30,2023,12,2024,"S55-17",c(893955, 6417592)
"2276",0.833333313,"XY",2023-12-31,2023,12,2024,"S84-005",c(962134, 6443552)
"2277",0.703125,"XY",2024-01-01,2024,1,2024,"S73-026",c(1002412, 6350658)
"2278",0.640625,"XY",2024-01-01,2024,1,2024,"S86-023",c(936899, 6590851)
"2279",0.828125,"XY",2024-01-02,2024,1,2024,"S81-140",c(605700, 6158731)
"2280",0.90625,"XY",2024-01-02,2024,1,2024,"S58-61",c(914981, 6417043)
"2281",0.979166687,"XY",2024-01-02,2024,1,2024,"S87-030",c(890326, 6342549)
"2282",1,"XY",2024-01-02,2024,1,2024,"S88-071",c(920690, 6312637)
"2283",0.588541687,"XX",2024-01-03,2024,1,2024,"S86-127",c(929235, 6603065)
"2284",0.890625,"XY",2024-01-03,2024,1,2024,"S83-080",c(641000, 6177815)
"2285",1,"XY",2024-01-03,2024,1,2024,"S86-084",c(970517, 6510152)
"2286",0.8125,"XY",2024-01-03,2024,1,2024,"S86-024",c(945120, 6331338)
"2287",0.583333313,"XY",2024-01-04,2024,1,2024,"S86-097",c(963691, 6323049)
"2288",0.729166687,"XX",2024-01-04,2024,1,2024,"S61-30",c(962648, 6325943)
"2289",1,"XX",2024-01-04,2024,1,2024,"S78-043",c(951744, 6442589)
"2290",1,"XY",2024-01-04,2024,1,2024,"S84-005",c(951896, 6442605)
"2291",0.734375,"XX",2024-01-04,2024,1,2024,"S86-040",c(962713, 6326191)
"2292",0.958333313,"XX",2024-01-04,2024,1,2024,"S86-099",c(962392, 6326416)
"2293",1,"XX",2024-01-04,2024,1,2024,"S83-007",c(1008126, 6336730)
"2294",0.994791687,"XX",2024-01-04,2024,1,2024,"S61-30",c(962751, 6326166)
"2295",1,"XY",2024-01-04,2024,1,2024,"S86-014",c(822198, 6627636)
"2296",0.958333313,"XY",2024-01-04,2024,1,2024,"S86-098",c(963681, 6323042)
"2297",0.989583313,"XY",2024-01-04,2024,1,2024,"S87-118",c(938670, 6589352)
"2298",1,"XY",2024-01-06,2024,1,2024,"S86-128",c(762443, 6369110)
"2300",1,"XY",2024-01-08,2024,1,2024,"S86-058",c(979332, 6308950)
"2301",1,"XY",2024-01-08,2024,1,2024,"S87-044",c(997349, 6372881)
"2302",1,"XY",2024-01-08,2024,1,2024,"S87-044",c(997190, 6373268)
"2303",0.869791687,"XY",2024-01-08,2024,1,2024,"S86-080",c(982887, 6408303)
"2304",0.932291687,"XX",2024-01-08,2024,1,2024,"S82-123",c(1065602, 6328700)
"2305",0.5625,"XX",2024-01-08,2024,1,2024,"S86-054",c(980601, 6309677)
"2306",0.708333313,"XX",2024-01-08,2024,1,2024,"S74-006",c(1017568, 6353410)
"2307",0.619791687,"XY",2024-01-08,2024,1,2024,"S86-024",c(945728, 6330964)
"2308",0.78125,"XY",2024-01-09,2024,1,2024,"S71-044",c(931440, 6613816)
"2309",0.989583313,"XX",2024-01-09,2024,1,2024,"S86-056",c(963553, 6237360)
"2310",0.541666687,"XX",2024-01-09,2024,1,2024,"S82-062",c(962036, 6237557)
"2312",0.96875,"XX",2024-01-09,2024,1,2024,"S78-081",c(926715, 6393678)
"2313",1,"XY",2024-01-09,2024,1,2024,"S78-075",c(1027029, 6347168)
"2314",0.875,"XY",2024-01-09,2024,1,2024,"S86-125",c(931730, 6613375)
"2315",0.760416687,"XY",2024-01-09,2024,1,2024,"S71-044",c(931959, 6613187)
"2316",0.989583313,"XX",2024-01-09,2024,1,2024,"S86-124",c(932117, 6613092)
"2317",1,"XY",2024-01-09,2024,1,2024,"S87-122",c(752678, 6402095)
"2318",0.619791687,"XY",2024-01-09,2024,1,2024,"S71-044",c(931714, 6613576)
"2319",0.817708313,"XY",2024-01-09,2024,1,2024,"S86-199",c(927380, 6445584)
"2320",1,"XX",2024-01-09,2024,1,2024,"S86-126",c(933303, 6613364)
"2321",0.671875,"XX",2024-01-10,2024,1,2024,"S86-059",c(1020909, 6313099)
"2322",0.708333313,"XX",2024-01-10,2024,1,2024,"S55-17",c(891510, 6422244)
"2323",0.947916687,"XX",2024-01-10,2024,1,2024,"S79-060",c(971128, 6239992)
"2324",0.671875,"XX",2024-01-10,2024,1,2024,"S79-060",c(970490, 6239049)
"2325",1,"XY",2024-01-10,2024,1,2024,"S86-055",c(970464, 6239063)
"2326",0.833333313,"XY",2024-01-11,2024,1,2024,"S86-050",c(1030027, 6345327)
"2327",0.921875,"XX",2024-01-11,2024,1,2024,"S86-049",c(1028056, 6345738)
"2329",0.619791687,"XY",2024-01-11,2024,1,2024,"S87-045",c(1045306, 6341674)
"2330",0.880208313,"XY",2024-01-11,2024,1,2024,"S73-070",c(940294, 6421691)
"2331",0.677083313,"XY",2024-01-11,2024,1,2024,"S79-002",c(988935, 6366319)
"2332",0.567708313,"XY",2024-01-11,2024,1,2024,"S86-009",c(935125, 6593021)
"2333",0.911458313,"XY",2024-01-11,2024,1,2024,"S86-027",c(893887, 6365950)
"2334",0.838541687,"XY",2024-01-11,2024,1,2024,"S86-027",c(893887, 6365950)
"2335",0.796875,"XY",2024-01-11,2024,1,2024,"S86-027",c(893887, 6365950)
"2336",0.9375,"XY",2024-01-11,2024,1,2024,"S79-003",c(999459, 6381965)
